size, time
0, 3.3855438232421875e-05
150, 0.008563995361328125
300, 0.024764060974121094
450, 0.04924917221069336
600, 0.08977103233337402
750, 0.12329411506652832
900, 0.21045708656311035
1050, 0.2433030605316162
1200, 0.3628699779510498
1350, 0.5089819431304932
1500, 0.6245770454406738
1650, 0.8427319526672363
1800, 1.1039149761199951
1950, 1.23390531539917
2100, 1.5423939228057861
2250, 1.897742748260498
2400, 2.18294620513916
2550, 2.2887840270996094
2700, 2.9280152320861816
2850, 3.1658051013946533
3000, 3.5619940757751465
3150, 3.837427854537964
3300, 4.115910768508911
3450, 4.678330898284912
3600, 5.287438154220581
3750, 5.43714714050293
3900, 6.243966817855835
4050, 6.620316028594971
4200, 7.253628253936768
4350, 7.788913726806641
4500, 8.755993127822876
4650, 8.72233772277832
4800, 10.036834955215454
4800, 9.577270984649658
4800, 9.752113103866577
4800, 9.827599048614502
4800, 9.817605972290039
4800, 9.672150135040283
4800, 9.62047004699707
4800, 9.657988786697388
4800, 9.668389081954956
4800, 9.572800874710083
4800, 10.229336977005005
4800, 9.671985864639282
4800, 9.940968751907349
4800, 9.609236001968384
