n, t
1001, 0.00286102294921875, 1
2001, 0.0034842491149902344, 1
3001, 0.005171060562133789, 1
4001, 0.006993770599365234, 1
5001, 0.008455991744995117, 1
6001, 0.011612892150878906, 1
7001, 0.014118194580078125, 1
8001, 0.0174558162689209, 1
9001, 0.016788005828857422, 1
10001, 0.021490812301635742, 1
11001, 0.019029855728149414, 1
12001, 0.02355217933654785, 1
13001, 0.026844024658203125, 1
14001, 0.0293118953704834, 1
15001, 0.027383089065551758, 1
16001, 0.0322110652923584, 1
17001, 0.03365182876586914, 1
18001, 0.036354780197143555, 1
19001, 0.03240799903869629, 1
20001, 0.03887629508972168, 1
21001, 0.04057002067565918, 1
22001, 0.04375100135803223, 1
23001, 0.04686284065246582, 1
24001, 0.048007965087890625, 1
25001, 0.04933881759643555, 1
26001, 0.05319404602050781, 1
27001, 0.05268692970275879, 1
28001, 0.06651186943054199, 1
29001, 0.054673194885253906, 1
30001, 0.059715986251831055, 1
31001, 0.059535980224609375, 1
32001, 0.0626370906829834, 1
33001, 0.06340599060058594, 1
34001, 0.06778287887573242, 1
35001, 0.06502604484558105, 1
36001, 0.06874704360961914, 1
37001, 0.07076907157897949, 1
38001, 0.06984496116638184, 1
39001, 0.07174992561340332, 1
40001, 0.07282710075378418, 1
41001, 0.07756781578063965, 1
42001, 0.07616901397705078, 1
43001, 0.07880020141601562, 1
44001, 0.08059215545654297, 1
45001, 0.08255910873413086, 1
46001, 0.08539509773254395, 1
47001, 0.0854790210723877, 1
48001, 0.0882272720336914, 1
49001, 0.08855915069580078, 1
50001, 0.0906667709350586, 1
51001, 0.09204888343811035, 1
52001, 0.09660172462463379, 1
53001, 0.09861207008361816, 1
54001, 0.10125970840454102, 1
55001, 0.09931492805480957, 1
56001, 0.09992289543151855, 1
57001, 0.10213994979858398, 1
58001, 0.10320520401000977, 1
59001, 0.10661029815673828, 1
60001, 0.1062772274017334, 1
61001, 0.10988807678222656, 1
62001, 0.12509775161743164, 1
63001, 0.11732888221740723, 1
64001, 0.11451864242553711, 1
65001, 0.11579585075378418, 1
66001, 0.11983489990234375, 1
67001, 0.1229238510131836, 1
68001, 0.12281608581542969, 1
69001, 0.12259721755981445, 1
70001, 0.12393879890441895, 1
71001, 0.12836694717407227, 1
72001, 0.1264181137084961, 1
73001, 0.1287379264831543, 1
74001, 0.1324782371520996, 1
75001, 0.1353449821472168, 1
76001, 0.13310480117797852, 1
77001, 0.1358199119567871, 1
78001, 0.13776612281799316, 1
79001, 0.13858723640441895, 1
80001, 0.14267897605895996, 1
81001, 0.14800786972045898, 1
82001, 0.1465742588043213, 1
83001, 0.14544010162353516, 1
84001, 0.14749503135681152, 1
85001, 0.15017294883728027, 1
86001, 0.15269780158996582, 1
87001, 0.15265202522277832, 1
88001, 0.1614532470703125, 1
89001, 0.15676617622375488, 1
90001, 0.15936994552612305, 1
91001, 0.16411590576171875, 1
92001, 0.1629350185394287, 1
93001, 0.16492009162902832, 1
94001, 0.1645979881286621, 1
95001, 0.1716148853302002, 1
96001, 0.1755809783935547, 1
97001, 0.1737689971923828, 1
98001, 0.17049717903137207, 1
99001, 0.173997163772583, 1
100001, 0.1778700351715088, 1
101001, 0.1790447235107422, 1
102001, 0.18128204345703125, 1
103001, 0.18181204795837402, 1
104001, 0.18392395973205566, 1
105001, 0.18392491340637207, 1
106001, 0.18915390968322754, 1
107001, 0.1864452362060547, 1
108001, 0.1917722225189209, 1
109001, 0.1908411979675293, 1
110001, 0.19421005249023438, 1
111001, 0.19838690757751465, 1
112001, 0.19571995735168457, 1
113001, 0.20051002502441406, 1
114001, 0.20076203346252441, 1
115001, 0.20263004302978516, 1
116001, 0.20530486106872559, 1
117001, 0.20357489585876465, 1
118001, 0.2062971591949463, 1
119001, 0.21289801597595215, 1
120001, 0.20967698097229004, 1
121001, 0.21233272552490234, 1
122001, 0.21179628372192383, 1
123001, 0.21685290336608887, 1
124001, 0.21826386451721191, 1
125001, 0.2174839973449707, 1
126001, 0.21952295303344727, 1
127001, 0.22605681419372559, 1
128001, 0.22643685340881348, 1
129001, 0.22356486320495605, 1
130001, 0.22967886924743652, 1
131001, 0.22811102867126465, 1
132001, 0.22876811027526855, 1
133001, 0.23141717910766602, 1
134001, 0.23375988006591797, 1
135001, 0.23614287376403809, 1
136001, 0.2377150058746338, 1
137001, 0.24674487113952637, 1
138001, 0.24058818817138672, 1
139001, 0.2406940460205078, 1
140001, 0.2395939826965332, 1
141001, 0.24455881118774414, 1
142001, 0.25081515312194824, 1
143001, 0.24970507621765137, 1
144001, 0.25036191940307617, 1
145001, 0.25220799446105957, 1
146001, 0.2584981918334961, 1
147001, 0.25720977783203125, 1
148001, 0.25507521629333496, 1
149001, 0.26123690605163574, 1
150001, 0.26079607009887695, 1
151001, 0.26301002502441406, 1
152001, 0.26056909561157227, 1
153001, 0.26764702796936035, 1
154001, 0.26981520652770996, 1
155001, 0.2724039554595947, 1
156001, 0.26842808723449707, 1
157001, 0.27407383918762207, 1
158001, 0.2778170108795166, 1
159001, 0.2756977081298828, 1
160001, 0.28185391426086426, 1
161001, 0.2780780792236328, 1
162001, 0.28004026412963867, 1
163001, 0.2827787399291992, 1
164001, 0.2898690700531006, 1
165001, 0.28513503074645996, 1
166001, 0.2922799587249756, 1
167001, 0.2924978733062744, 1
168001, 0.2910270690917969, 1
